,PassengerId,Survived,Name,Age,SibSp,Parch,Ticket,Fare,Cabin_no,Cabin_yes,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Age_scaled,Fare_scaled,TheOld,TheYoung,Child,Mother,Family_size,Cabin
52,53,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49,1,0,PC 17572,76.7292,0,1,1,0,0,1,0,0,1,0,1.420704699,0.896496787,0,1,0,0,1,D33
53,54,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29,1,0,2926,26,1,0,0,0,1,0,1,0,1,0,-0.047501392,-0.124919787,0,1,0,0,1,
54,55,0,"Ostby, Mr. Engelhart Cornelius",65,0,1,113509,61.9792,0,1,1,0,0,1,0,0,0,1,2.595269571,0.599510151,1,0,0,0,1,B30
55,56,1,"Woolner, Mr. Hugh",44.06483036,0,0,19947,35.5,0,1,0,0,1,1,0,0,0,1,1.058412392,0.066359742,0,1,0,0,0,C52
56,57,1,"Rugg, Miss. Emily",21,0,0,C.A. 31026,10.5,1,0,0,0,1,0,1,0,1,0,-0.634783828,-0.437007438,0,1,0,0,0,
57,58,0,"Novel, Mr. Mansouer",28.5,0,0,2697,7.2292,1,0,1,0,0,0,0,1,0,1,-0.084206544,-0.502863973,0,1,0,0,0,
58,59,1,"West, Miss. Constance Mirium",5,1,2,C.A. 34651,27.75,1,0,0,0,1,0,1,0,1,0,-1.809348701,-0.089684084,0,0,1,0,3,
59,60,0,"Goodwin, Master. William Frederick",11,5,2,CA 2144,46.9,1,0,0,0,1,0,0,1,0,1,-1.368886873,0.295895176,0,0,1,0,7,
60,61,0,"Sirayanian, Mr. Orsen",22,0,0,2669,7.2292,1,0,1,0,0,0,0,1,0,1,-0.561373524,-0.502863973,0,1,0,0,0,
61,62,1,"Icard, Miss. Amelie",38,0,0,113572,80,0,1,0,0,0,1,0,0,1,0,0.613191349,0.962353321,0,1,0,0,0,B28
62,63,0,"Harris, Mr. Henry Birkhardt",45,1,0,36973,83.475,0,1,0,0,1,1,0,0,0,1,1.127063481,1.032321359,0,1,0,0,1,C83
63,64,0,"Skoog, Master. Harald",4,3,2,347088,27.9,1,0,0,0,1,0,0,1,0,1,-1.882759005,-0.086663881,0,0,1,0,5,
64,65,0,"Stewart, Mr. Albert A",41.20008848,0,0,PC 17605,27.7208,1,0,1,0,0,1,0,0,0,1,0.848110818,-0.090272017,0,1,0,0,0,
65,66,1,"Moubarek, Master. Gerios",17.09991595,1,1,2661,15.2458,1,0,1,0,0,0,0,1,0,1,-0.921090186,-0.34145224,0,1,0,0,2,
66,67,1,"Nye, Mrs. (Elizabeth Ramell)",29,0,0,C.A. 29395,10.5,0,1,0,0,1,0,1,0,1,0,-0.047501392,-0.437007438,0,1,0,0,0,F33
67,68,0,"Crease, Mr. Ernest James",19,0,0,S.P. 3464,8.1583,1,0,0,0,1,0,0,1,0,1,-0.781604437,-0.484156835,0,1,0,0,0,
68,69,1,"Andersson, Miss. Erna Alexandra",17,4,2,3101281,7.925,1,0,0,0,1,0,0,1,1,0,-0.928425046,-0.488854258,0,1,0,0,6,
69,70,0,"Kink, Mr. Vincenz",26,2,0,315151,8.6625,1,0,0,0,1,0,0,1,0,1,-0.267732305,-0.474004926,0,1,0,0,2,
70,71,0,"Jenkin, Mr. Stephen Curnow",32,0,0,C.A. 33111,10.5,1,0,0,0,1,0,1,0,0,1,0.172729522,-0.437007438,0,1,0,0,0,
71,72,0,"Goodwin, Miss. Lillian Amy",16,5,2,CA 2144,46.9,1,0,0,0,1,0,0,1,1,0,-1.001835351,0.295895176,0,1,0,0,7,
72,73,0,"Hood, Mr. Ambrose Jr",21,0,0,S.O.C. 14879,73.5,1,0,0,0,1,0,1,0,0,1,-0.634783828,0.831477855,0,1,0,0,0,
73,74,0,"Chronopoulos, Mr. Apostolos",26,1,0,2680,14.4542,1,0,1,0,0,0,0,1,0,1,-0.267732305,-0.357390858,0,1,0,0,1,
74,75,1,"Bing, Mr. Lee",32,0,0,1601,56.4958,1,0,0,0,1,0,0,1,0,1,0.172729522,0.489103607,0,1,0,0,0,
75,76,0,"Moen, Mr. Sigurd Hansen",25,0,0,348123,7.65,0,1,0,0,1,0,0,1,0,1,-0.34114261,-0.494391297,0,1,0,0,0,F G73
76,77,0,"Staneff, Mr. Ivan",27.94720616,0,0,349208,7.8958,1,0,0,0,1,0,0,1,0,1,-0.124787308,-0.48944219,0,1,0,0,0,
77,78,0,"Moutal, Mr. Rahamin Haim",30.70572678,0,0,374746,8.05,1,0,0,0,1,0,0,1,0,1,0.07771653,-0.486337422,0,1,0,0,0,
78,79,1,"Caldwell, Master. Alden Gates",0.83,0,2,248738,29,1,0,0,0,1,0,1,0,0,1,-2.11546967,-0.064515725,0,0,1,0,2,
79,80,1,"Dowdell, Miss. Elizabeth",30,0,0,364516,12.475,1,0,0,0,1,0,0,1,1,0,0.025908913,-0.397241431,0,1,0,0,0,
80,81,0,"Waelens, Mr. Achille",22,0,0,345767,9,1,0,0,0,1,0,0,1,0,1,-0.561373524,-0.467209469,0,1,0,0,0,
81,82,1,"Sheerlinck, Mr. Jan Baptist",29,0,0,345779,9.5,1,0,0,0,1,0,0,1,0,1,-0.047501392,-0.457142125,0,1,0,0,0,
82,83,1,"McDermott, Miss. Brigdet Delia",23.32262739,0,0,330932,7.7875,1,0,0,1,0,0,0,1,1,0,-0.464279044,-0.491622777,0,1,0,0,0,
83,84,0,"Carrau, Mr. Francisco M",28,0,0,113059,47.1,1,0,0,0,1,1,0,0,0,1,-0.120911696,0.299922113,0,1,0,0,0,
84,85,1,"Ilett, Miss. Bertha",17,0,0,SO/C 14885,10.5,1,0,0,0,1,0,1,0,1,0,-0.928425046,-0.437007438,0,1,0,0,0,
85,86,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33,3,0,3101278,15.85,1,0,0,0,1,0,0,1,1,0,0.246139826,-0.329286862,0,1,0,0,3,
86,87,0,"Ford, Mr. William Neal",16,1,3,W./C. 6608,34.375,1,0,0,0,1,0,0,1,0,1,-1.001835351,0.043708218,0,1,0,0,4,
87,88,0,"Slocovski, Mr. Selman Francis",30.70572678,0,0,SOTON/OQ 392086,8.05,1,0,0,0,1,0,0,1,0,1,0.07771653,-0.486337422,0,1,0,0,0,
88,89,1,"Fortune, Miss. Mabel Helen",23,3,2,19950,263,0,1,0,0,1,1,0,0,1,0,-0.487963219,4.647001077,0,1,0,0,5,C23 C25 C27
89,90,0,"Celotti, Mr. Francesco",24,0,0,343275,8.05,1,0,0,0,1,0,0,1,0,1,-0.414552915,-0.486337422,0,1,0,0,0,
90,91,0,"Christmann, Mr. Emil",29,0,0,343276,8.05,1,0,0,0,1,0,0,1,0,1,-0.047501392,-0.486337422,0,1,0,0,0,
91,92,0,"Andreasson, Mr. Paul Edvin",20,0,0,347466,7.8542,1,0,0,0,1,0,0,1,0,1,-0.708194133,-0.490279793,0,1,0,0,0,
92,93,0,"Chaffee, Mr. Herbert Fuller",46,1,0,W.E.P. 5734,61.175,0,1,0,0,1,1,0,0,0,1,1.200473785,0.583317835,0,1,0,0,1,E31
93,94,0,"Dean, Mr. Bertram Frank",26,1,2,C.A. 2315,20.575,1,0,0,0,1,0,0,1,0,1,-0.267732305,-0.234150465,0,1,0,0,3,
94,95,0,"Coxon, Mr. Daniel",59,0,0,364500,7.25,1,0,0,0,1,0,0,1,0,1,2.154807744,-0.502445171,1,0,0,0,0,
95,96,0,"Shorney, Mr. Charles Joseph",30.70572678,0,0,374910,8.05,1,0,0,0,1,0,0,1,0,1,0.07771653,-0.486337422,0,1,0,0,0,
96,97,0,"Goldschmidt, Mr. George B",71,0,0,PC 17754,34.6542,0,1,1,0,0,1,0,0,0,1,3.035731398,0.049329823,1,0,0,0,0,A5
97,98,1,"Greenfield, Mr. William Bertram",23,0,1,PC 17759,63.3583,0,1,1,0,0,1,0,0,0,1,-0.487963219,0.627277898,0,1,0,0,1,D10 D12
98,99,1,"Doling, Mrs. John T (Ada Julia Bone)",34,0,1,231919,23,1,0,0,0,1,0,1,0,1,0,0.319550131,-0.185323848,0,1,0,0,1,
99,100,0,"Kantor, Mr. Sinai",34,1,0,244367,26,1,0,0,0,1,0,1,0,0,1,0.319550131,-0.124919787,0,1,0,0,1,
100,101,0,"Petranec, Miss. Matilda",28,0,0,349245,7.8958,1,0,0,0,1,0,0,1,1,0,-0.120911696,-0.48944219,0,1,0,0,0,
101,102,0,"Petroff, Mr. Pastcho (""Pentcho"")",27.94720616,0,0,349215,7.8958,1,0,0,0,1,0,0,1,0,1,-0.124787308,-0.48944219,0,1,0,0,0,
102,103,0,"White, Mr. Richard Frasar",21,0,1,35281,77.2875,0,1,0,0,1,1,0,0,0,1,-0.634783828,0.907737982,0,1,0,0,1,D26
103,104,0,"Johansson, Mr. Gustaf Joel",33,0,0,7540,8.6542,1,0,0,0,1,0,0,1,0,1,0.246139826,-0.474172044,0,1,0,0,0,
104,105,0,"Gustafsson, Mr. Anders Vilhelm",37,2,0,3101276,7.925,1,0,0,0,1,0,0,1,0,1,0.539781044,-0.488854258,0,1,0,0,2,
105,106,0,"Mionoff, Mr. Stoytcho",28,0,0,349207,7.8958,1,0,0,0,1,0,0,1,0,1,-0.120911696,-0.48944219,0,1,0,0,0,
106,107,1,"Salkjelsvik, Miss. Anna Kristine",21,0,0,343120,7.65,1,0,0,0,1,0,0,1,1,0,-0.634783828,-0.494391297,0,1,0,0,0,
107,108,1,"Moss, Mr. Albert Johan",27.51545426,0,0,312991,7.775,1,0,0,0,1,0,0,1,0,1,-0.156482347,-0.491874461,0,1,0,0,0,
108,109,0,"Rekic, Mr. Tido",38,0,0,349249,7.8958,1,0,0,0,1,0,0,1,0,1,0.613191349,-0.48944219,0,1,0,0,0,
109,110,1,"Moran, Miss. Bertha",33.55117591,1,0,371110,24.15,1,0,0,1,0,0,0,1,1,0,0.286601818,-0.162168958,0,1,0,0,1,
110,111,0,"Porter, Mr. Walter Chamberlain",47,0,0,110465,52,0,1,0,0,1,1,0,0,0,1,1.27388409,0.39858208,0,1,0,0,0,C110
111,112,0,"Zabour, Miss. Hileni",14.5,1,0,2665,14.4542,1,0,1,0,0,0,0,1,1,0,-1.111950808,-0.357390858,0,1,0,0,1,
112,113,0,"Barton, Mr. David John",22,0,0,324669,8.05,1,0,0,0,1,0,0,1,0,1,-0.561373524,-0.486337422,0,1,0,0,0,
113,114,0,"Jussila, Miss. Katriina",20,1,0,4136,9.825,1,0,0,0,1,0,0,1,1,0,-0.708194133,-0.450598352,0,1,0,0,1,
114,115,0,"Attalah, Miss. Malake",17,0,0,2627,14.4583,1,0,1,0,0,0,0,1,1,0,-0.928425046,-0.357308306,0,1,0,0,0,
115,116,0,"Pekoniemi, Mr. Edvard",21,0,0,STON/O 2. 3101294,7.925,1,0,0,0,1,0,0,1,0,1,-0.634783828,-0.488854258,0,1,0,0,0,
116,117,0,"Connors, Mr. Patrick",70.5,0,0,370369,7.75,1,0,0,1,0,0,0,1,0,1,2.999026246,-0.492377828,1,0,0,0,0,
117,118,0,"Turpin, Mr. William John Robert",29,1,0,11668,21,1,0,0,0,1,0,1,0,0,1,-0.047501392,-0.225593223,0,1,0,0,1,
118,119,0,"Baxter, Mr. Quigg Edmond",24,0,1,PC 17558,247.5208,0,1,1,0,0,1,0,0,0,1,-0.414552915,4.335332227,0,1,0,0,1,B58 B60
119,120,0,"Andersson, Miss. Ellis Anna Maria",2,4,2,347082,31.275,1,0,0,0,1,0,0,1,1,0,-2.029579614,-0.018709312,0,0,1,0,6,
120,121,0,"Hickman, Mr. Stanley George",21,2,0,S.O.C. 14879,73.5,1,0,0,0,1,0,1,0,0,1,-0.634783828,0.831477855,0,1,0,0,2,
121,122,0,"Moore, Mr. Leonard Charles",30.70572678,0,0,A4. 54510,8.05,1,0,0,0,1,0,0,1,0,1,0.07771653,-0.486337422,0,1,0,0,0,
122,123,0,"Nasser, Mr. Nicholas",32.5,1,0,237736,30.0708,1,0,1,0,0,0,1,0,0,1,0.209434674,-0.042955502,0,1,0,0,1,
123,124,1,"Webber, Miss. Susan",32.5,0,0,27267,13,0,1,0,0,1,0,1,0,1,0,0.209434674,-0.38667072,0,1,0,0,0,E101
124,125,0,"White, Mr. Percival Wayland",54,0,1,35281,77.2875,0,1,0,0,1,1,0,0,0,1,1.787756221,0.907737982,1,0,0,0,1,D26
125,126,1,"Nicola-Yarred, Master. Elias",12,1,0,2651,11.2417,1,0,1,0,0,0,0,1,0,1,-1.295476569,-0.422073541,0,0,1,0,1,
126,127,0,"McMahon, Mr. Martin",35.2958243,0,0,370372,7.75,1,0,0,1,0,0,0,1,0,1,0.414676987,-0.492377828,0,1,0,0,0,
127,128,1,"Madsen, Mr. Fridtjof Arne",24,0,0,C 17369,7.1417,1,0,0,0,1,0,0,1,0,1,-0.414552915,-0.504625758,0,1,0,0,0,
128,129,1,"Peter, Miss. Anna",25.78337698,1,1,2668,22.3583,0,1,1,0,0,0,0,1,1,0,-0.283634667,-0.198244277,0,1,0,0,2,F E69
129,130,0,"Ekstrom, Mr. Johan",45,0,0,347061,6.975,1,0,0,0,1,0,0,1,0,1,1.127063481,-0.50798221,0,1,0,0,0,
130,131,0,"Drazenoic, Mr. Jozef",33,0,0,349241,7.8958,1,0,1,0,0,0,0,1,0,1,0.246139826,-0.48944219,0,1,0,0,0,
131,132,0,"Coelho, Mr. Domingos Fernandeo",20,0,0,SOTON/O.Q. 3101307,7.05,1,0,0,0,1,0,0,1,0,1,-0.708194133,-0.506472109,0,1,0,0,0,
132,133,0,"Robins, Mrs. Alexander A (Grace Charity Laury)",47,1,0,A/5. 3337,14.5,1,0,0,0,1,0,0,1,1,0,1.27388409,-0.356468689,0,1,0,0,1,
133,134,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29,1,0,228414,26,1,0,0,0,1,0,1,0,1,0,-0.047501392,-0.124919787,0,1,0,0,1,
134,135,0,"Sobey, Mr. Samuel James Hayden",25,0,0,C.A. 29178,13,1,0,0,0,1,0,1,0,0,1,-0.34114261,-0.38667072,0,1,0,0,0,
135,136,0,"Richard, Mr. Emile",23,0,0,SC/PARIS 2133,15.0458,1,0,1,0,0,0,1,0,0,1,-0.487963219,-0.345479177,0,1,0,0,0,
136,137,1,"Newsom, Miss. Helen Monypeny",19,0,2,11752,26.2833,0,1,0,0,1,1,0,0,1,0,-0.781604437,-0.11921563,0,1,0,0,2,D47
137,138,0,"Futrelle, Mr. Jacques Heath",37,1,0,113803,53.1,0,1,0,0,1,1,0,0,0,1,0.539781044,0.420730236,0,1,0,0,1,C123
138,139,0,"Osen, Mr. Olaf Elon",16,0,0,7534,9.2167,1,0,0,0,1,0,0,1,0,1,-1.001835351,-0.462846282,0,1,0,0,0,
139,140,0,"Giglio, Mr. Victor",24,0,0,PC 17593,79.2,0,1,1,0,0,1,0,0,0,1,-0.414552915,0.946245572,0,1,0,0,0,B86
140,141,0,"Boulos, Mrs. Joseph (Sultana)",25.34409583,0,2,2678,15.2458,1,0,1,0,0,0,0,1,1,0,-0.31588243,-0.34145224,0,1,0,1,2,
141,142,1,"Nysten, Miss. Anna Sofia",22,0,0,347081,7.75,1,0,0,0,1,0,0,1,1,0,-0.561373524,-0.492377828,0,1,0,0,0,
142,143,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24,1,0,STON/O2. 3101279,15.85,1,0,0,0,1,0,0,1,1,0,-0.414552915,-0.329286862,0,1,0,0,1,
143,144,0,"Burke, Mr. Jeremiah",19,0,0,365222,6.75,1,0,0,1,0,0,0,1,0,1,-0.781604437,-0.512512515,0,1,0,0,0,
144,145,0,"Andrew, Mr. Edgardo Samuel",18,0,0,231945,11.5,1,0,0,0,1,0,1,0,0,1,-0.855014742,-0.416872751,0,1,0,0,0,
145,146,0,"Nicholls, Mr. Joseph Charles",19,1,1,C.A. 33112,36.75,1,0,0,0,1,0,1,0,0,1,-0.781604437,0.091528101,0,1,0,0,2,
146,147,1,"Andersson, Mr. August Edvard (""Wennerstrom"")",27,0,0,350043,7.7958,1,0,0,0,1,0,0,1,0,1,-0.194322001,-0.491455659,0,1,0,0,0,
147,148,0,"Ford, Miss. Robina Maggie ""Ruby""",9,2,2,W./C. 6608,34.375,1,0,0,0,1,0,0,1,1,0,-1.515707482,0.043708218,0,0,1,0,4,
148,149,0,"Navratil, Mr. Michel (""Louis M Hoffman"")",36.5,0,2,230080,26,0,1,0,0,1,0,1,0,0,1,0.503075892,-0.124919787,0,1,0,0,2,F2
149,150,0,"Byles, Rev. Thomas Roussel Davids",42,0,0,244310,13,1,0,0,0,1,0,1,0,0,1,0.906832567,-0.38667072,0,1,0,0,0,
150,151,0,"Bateman, Rev. Robert James",51,0,0,S.O.P. 1166,12.525,1,0,0,0,1,0,1,0,0,1,1.567525308,-0.396234697,1,0,0,0,0,
151,152,1,"Pears, Mrs. Thomas (Edith Wearne)",22,1,0,113776,66.6,0,1,0,0,1,1,0,0,1,0,-0.561373524,0.692548513,0,1,0,0,1,C2
152,153,0,"Meo, Mr. Alfonzo",55.5,0,0,A.5. 11206,8.05,1,0,0,0,1,0,0,1,0,1,1.897871678,-0.486337422,1,0,0,0,0,
153,154,0,"van Billiard, Mr. Austin Blyler",40.5,0,2,A/5. 851,14.5,1,0,0,0,1,0,0,1,0,1,0.79671711,-0.356468689,0,1,0,0,2,
154,155,0,"Olsen, Mr. Ole Martin",29.78279613,0,0,Fa 265302,7.3125,1,0,0,0,1,0,0,1,0,1,0.00996391,-0.501186753,0,1,0,0,0,
155,156,0,"Williams, Mr. Charles Duane",51,0,1,PC 17597,61.3792,1,0,1,0,0,1,0,0,0,1,1.567525308,0.587429338,1,0,0,0,1,
156,157,1,"Gilnagh, Miss. Katherine ""Katie""",16,0,0,35851,7.7333,1,0,0,1,0,0,0,1,1,0,-1.001835351,-0.492714077,0,1,0,0,0,
157,158,0,"Corn, Mr. Harry",30,0,0,SOTON/OQ 392090,8.05,1,0,0,0,1,0,0,1,0,1,0.025908913,-0.486337422,0,1,0,0,0,
158,159,0,"Smiljanic, Mr. Mile",25.52340334,0,0,315037,8.6625,1,0,0,0,1,0,0,1,0,1,-0.302719411,-0.474004926,0,1,0,0,0,
159,160,0,"Sage, Master. Thomas Henry",10.86986696,8,2,CA. 2343,69.55,1,0,0,0,1,0,0,1,0,1,-1.37843998,0.75194584,0,0,1,0,10,
